"doi","Journal","Publication_year","Publication_year.2","Excluded.abstract.screening","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","Stat_analysis_software","CodePublished","CodePublished.2","CodePublished.3","LinktoCode","BreafDescription","InlineComments","CodeMentioned","CodeMentioned.2","Location_CodeMentioned","LocationShared","LocationShared.2","Repository","FreeSoftware","DataUsed","DataShared.2","DataShared.3","ExtraComments","Second_screener","Changes_after_second_screening","Remarks_on_decisions"
"10.1038/hdy.2015.92","HEREDITY",2016,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2017.2314","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","permutation tests, permutation t tests","R and MATLAB","yes","yes","yes","https://zenodo.org/record/898733#.XToFzvIzbb0","yes","yes","yes, code","yes","dataaccessibility and methods","repository","repository","Zenodo","partially","yes","yes","yes","R code used exclusively for running permutations tests using package perm, whose version is not provided, and the package is not properly cited",NA,NA,NA
"10.1111/1365-2435.13133","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","ANOVAs, lmms, t tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided",NA,NA,NA
"10.1890/15-0118.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1098/rspb.2015.0598","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1890/ES15-00182.1","ECOSPHERE",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1111/1365-2664.12642","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R and STATA","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12642/full","yes, very brief readme added as supplement that says what each script is for, and some more detailed information at the beginning of the scripts","yes","yes, code and script","yes","dataaccessibility and supplement","repository and supplementary file","repository","Dryad","partially","yes","yes","yes",NA,"AST","LocationShared from supplement to repository and supplement, repository changed from NA to Dryad, and BreafDescription/Howto changed from no to yes, very brief readme added as supplement that says what each script is for, and some more detailed information at the beginning of the scripts",NA
"10.1111/1365-2435.12401","FUNCTIONAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST-quick",NA,NA
"10.1002/ecs2.2352","ECOSPHERE",2018,"2018-2019","no","yes","no","glms, correlations, ANOVAs, Tukey tests, t tests","SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","open access",NA,NA,NA
"10.1098/rspb.2015.0425","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","Statistica","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.13479","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1755-0998.12440","MOLECULAR ECOLOGY RESOURCES",2016,"2015-2016","no","no","yes","bioinformatic anlaysis in R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/mec.13619","MOLECULAR ECOLOGY",2016,"2015-2016","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,"Not sure with this one but lean towards stats = yes because of the PCA and DAPC, which despite being on SNPs, are common statistical tests that can be applied to different data"
"10.1098/rspb.2017.2171","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","mixed models (ICC), autocorrelations","MATLAB","yes","yes","yes","https://figshare.com/collections/Supplementary_material_from_Imitation_of_novel_conspecific_and_human_speech_sounds_in_the_killer_whale_i_Orcinus_orca_i_/3982647","yes","yes","no","no",NA,"repository","repository","Figshare","no","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2664.12619","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12619/abstract","yes","yes","yes, code","yes","dataaccessibility and methods and supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2656.12405","JOURNAL OF ANIMAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.1632","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","phylogenetic analyses, bootstrapping, Shapiro-Wilk tests, Wilcoxon tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","they said we used a custom R script a couple of times but they do not provide it, R not properly cited and its version not provided either",NA,NA,NA
"10.1111/1755-0998.12973","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","no","yes","yes","PCA, correlations, sequencing","Microsoft Excel and Origin Pro","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes","open access",NA,NA,NA
"10.1098/rspb.2018.0419","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","chi-square, t tests, lms, glms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1086/687202","AMERICAN NATURALIST",2016,"2015-2016","no","yes","no","also phylogenetic analaysis","R and Maxent","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.69fc0; https://github.com/michellelawing/ppgm; + supplement (this is R code in docx","yes","yes","yes, code and script","yes","methods","repository and supplementary file","repository","Dryad and GitHub","yes","yes","yes","yes",NA,"AST",NA,NA
"10.1111/1365-2664.12609","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST-quick",NA,NA
"10.1002/ecs2.1296","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","https://github.com/selmants/bacteria_MAT","yes","yes","yes, code","yes","dataaccessibility","repository","repository","GitHub","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2745.12939","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","correlations, glmms, lmms, permutations, ANOVA","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not properly cited, R and R package version not provided",NA,NA,NA
"10.1086/686220","AMERICAN NATURALIST",2016,"2015-2016","no","yes","no",NA,"Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2745.12946","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","glmms, non-constant variance score tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided",NA,NA,NA
"10.1038/hdy.2014.127","HEREDITY",2015,"2015-2016","no","yes","yes","simple statistical analysis","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST","Stat_analysis_software changed from statistica to not stated, FreeSoftwared changed from no to NA",NA
"10.1002/ecy.1436","ECOLOGY",2016,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes","R package version not provided","AST",NA,NA
"10.1002/ecs2.1357","ECOSPHERE",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Hyperniche","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,"AST-quick",NA,"not sure if free software. According to the web, one has to buy it https://www.wildblueberrymedia.net/hyperniche"
"10.1086/682068","AMERICAN NATURALIST",2015,"2015-2016","no","yes","no","JMP analysis is only PCA","R and JMP","some","some","yes","http://www.journals.uchicago.edu/doi/10.1086/682068","no","yes","yes, code","yes","methods","link in the article","supplementary file",NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.14510","MOLECULAR ECOLOGY",2018,"2018-2019","yes",NA,NA,"perspective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2745.12974","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","GAMs, correlations","R","yes","yes","yes","https://zenodo.org/record/1183416#.XS2vx-gzaUl","yes, well explained in the README and the supplementary material, and fully reproducible by using the R package remake. Brilliant.","yes","yes, code","yes","dataaccessibility and supplement","repository","repository","Zenodo and GitHub","yes","yes","yes","yes","code originally in Github but archived via Zenodo (which gives it a doi)",NA,NA,NA
"10.1111/2041-210X.12979","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","no","yes","no","kringing models for linear networks and non-euclidean distances, re-analysis of dataset, package developed","R","yes","yes","yes","https://zenodo.org/record/1146098#.XTGgL-szbb0","yes, manual for the package, but R version not provided","yes","yes, code","yes","dataaccessibility","repository","repository","Zenodo and GitHub","yes","yes","yes","yes","I could not confirm that the code for the re-analysis is provided because it is too many files, but in the papers it says An R (R Core Team, 2017) package called KrigLinCaution was created that contains all data, code and analyses AND also the manuscript combining LaTeX and R code is also included in the package",NA,NA,NA
"10.1002/ecs2.2455","ECOSPHERE",2018,"2018-2019","no","yes","no","logistic regressions, AIC, Z tests, glms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access","AC",NA,NA
"10.1111/1365-2664.13184","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","no","yes","no","AIC, glmms, correlations","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA,NA
"10.1038/s41437-017-0044-z","HEREDITY",2018,"2018-2019","no","yes","yes","multivariate regression redundancy analysis, GWAS","R and SAS","some","some","yes","https://datadryad.org/resource/doi:10.5061/dryad.3402n","no, also R and R packages not properly cited and versions not provided","yes","yes, script","yes","dataaccessibility","repository","repository","Dryad","partially","yes","partially","yes",NA,NA,NA,NA
"10.1111/1365-2435.12661","FUNCTIONAL ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2016.1364","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes",NA,NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1755-0998.12394","MOLECULAR ECOLOGY RESOURCES",2015,"2015-2016","no","no","yes","bioinformatic anlaysis in Python, codes are provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,"I would lean towards stats = yes (same argument that for row102), and say code yes, but not all"
"10.1111/1365-2745.12525","JOURNAL OF ECOLOGY",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","MATLAB","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12525/abstract;jsessionid=8D975B30A1F06E9A4C16EB85B9A3806D.f02t04","yes","yes","yes, code","yes","methods and supplement","supplementary file","supplementary file",NA,"no","yes","yes","yes",NA,"AST",NA,NA
"10.1111/mec.13373","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.n14pn","no","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2435.13178","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","lms, Tukey tests, PCA","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not properly cited, R packages used not provided",NA,NA,NA
"10.1002/ecs2.2340","ECOSPHERE",2018,"2018-2019","no","yes","no","correlations, ANOVAs, Tukey tests, NMDS, permutations","R and PC-ORD","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","partially","yes","open access, simulation refers to permuations they did","AC","DataShared changed from no to yes, but only some as some data is presented in pdf format in the supplements",NA
"10.1002/ecs2.2368","ECOSPHERE",2018,"2018-2019","no","yes","no","AIC, nonlinear models","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access, R and R package version not provided, R package not properly cited either, also it does not seem they cite all packages used but I am not sure","AC",NA,NA
"10.1111/mec.13202","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes","bioinformatic anlaysis in R, and correlations and Mann-Whitney tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,"AST",NA,NA
"10.1002/ecs2.1276","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"R and JAGS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1890/14-1985.1","ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2664.13340","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","no","yes","no","lmms, correlations, AIC","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided",NA,NA,NA
"10.1098/rspb.2018.0590","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2664.13296","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","no","yes","no","correlations, SEM, lmms, AIC","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions of 1 out of 3 not provided, R version not provided",NA,NA,NA
"10.1038/hdy.2016.18","HEREDITY",2016,"2015-2016","no","no","yes","sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2664.12627","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","no",NA,"Minitab","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2664.13074","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","no","yes","no","correlations, morphological spatial pattern analysis, lmms, lms, glmms, AIC","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not properly cited, and R version not provided. R packages versions of 1 out of 5 packages not provided.",NA,NA,NA
"10.1086/696847","AMERICAN NATURALIST",2018,"2018-2019","no","yes","no","mixed models","R","some","some","yes","https://doi.org/10.1086/696847","yes, all parameters seem to have been defined, but R and some R packages versions not provided, and R not properly cited","yes","yes, script","yes","methods","supplementary file","supplementary file",NA,"yes","yes","yes","yes","code is accessible because paper is open access. Despite using R, they use ASREML, which is not free",NA,NA,NA
"10.1002/ecm.1308","ECOLOGICAL MONOGRAPHS",2018,"2018-2019","no","yes","no","just a couple of correlations and a lot of plotting","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","software used for analyses and plotting not findable","AC-quick",NA,NA
"10.1111/1365-2664.13054","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1755-0998.12958","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","no","yes","no","tool for simulating evolution of tree populations, comparative analyses","C++ and R and Python and Lua","yes","yes","yes","https://quercusportal.pierroton.inra.fr/index.php?p=METAPOP","yes","yes","yes, code","yes","methods","webpage","webpage",NA,"yes","yes","yes","yes","code hosted in a webpage of a European project called quercusportal.pierroton.inra.fr/",NA,NA,NA
"10.1890/14-1745.1","ECOLOGICAL APPLICATIONS",2015,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1111/mec.13465","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","R and Openbugs","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/mec.13465/full","yes","yes","yes, script","yes","dataaccessibility and methods and supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1086/686093","AMERICAN NATURALIST",2016,"2015-2016","no","no","no","mathematical model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,NA
"10.1098/rspb.2015.3025","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","yes"," gxpression and microarray analaysis, ANOVA, Kolmogorov-Smirnov, Levene, Tukey test","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST",NA,NA
"10.1111/mec.14791","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","lms, R package developed, permutation tests, glms, discriminant functions, sequencing","R","yes","yes","yes","https://doi.org/10.1111/mec.14791","yes, step-by-step Rmarkdown guide, but R not cited, and R and R packages versions of 2 out 5 packages not provided","no","yes, code and script","yes","dataaccessibility and methods","supplementary file","supplementary file",NA,"yes","yes","yes","yes","files provided double in the supplementary material",NA,NA,NA
"10.1111/1365-2656.12394","JOURNAL OF ANIMAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.58j2m","yes","yes","no","no",NA,"repository","repository","Dryad","yes","yes","yes","yes","inline comments are sparse",NA,NA,NA
"10.1111/1365-2664.12960","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","no","yes","no","t tests, ANOVAs, lms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA,NA
"10.1002/ecy.1514","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1890/14-2259.1","ECOLOGICAL MONOGRAPHS",2015,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","https://figshare.com/articles/Supplement_1_R_code_and_data_files_used_to_train_and_evaluate_species_distribution_models_SDMs_/3569064","yes","yes","yes, code","yes","methods","repository","repository","Figshare","yes","yes","yes","yes",NA,"AST",NA,NA
"10.1111/mec.14838","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","correlations, PCAs, GWAS, glms, animal models, permutations","R and MATLAB","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.n068q74","yes, good explanations and an amazing Rmarkdown in the supplements, but R version not provided and some R packages versions either","yes, but little to none in some of the functions","yes, code and script","yes","dataaccessibility and methods","repository and supplementary file","repository","Dryad and GitHub","partially","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.2461","ECOSPHERE",2018,"2018-2019","no","yes","no","lmms, R2, AIC, correlations","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access, R packages versions one provided and one not provided",NA,NA,NA
"10.1111/1365-2435.12588","FUNCTIONAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1890/15-0858.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1002/ecy.1430","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1111/mec.14539","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","PERMANOVA, ANOSIM, sequencing, PCoAs (principal coordinates analyses)","R and Python","yes","yes","yes","https://github.com/BikLab/ME_microbiome_2017/tree/master/scripts","no, and not all R packages versions provided, and R version and phython version not provided, phython not cited I know because of the files extensions","yes","yes, script","yes","dataaccessibility and methods","repository","repository","GitHub","yes","yes","yes","yes","largely bioinformatics, the stats seem all related to bioinformatics except the PCoA (principal coordinates analyses)",NA,NA,NA
"10.1890/ES14-00440.1","ECOSPHERE",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1111/1365-2656.12343","JOURNAL OF ANIMAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1890/14-2359.1","ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1111/mec.13238","MOLECULAR ECOLOGY",2015,"2015-2016","no","no","yes","bioinformatic anlaysis in Python, codes are provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,"I lean towards stats = yes, because I don't consider phylogenetic analyses as bioinformatics, but depends on what type of phylogenetic analysis which is not clear. However, they also use AIC. Difficult decision."
"10.1111/1365-2435.13134","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","lmms, multiple comparisons, Bonferroni, t tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R and R packages versions not provided, R not cited but Rstudio","AC",NA,NA
"10.1111/1365-2435.13041","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","model simulation but the paper is mostly a review","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","Data not shared because authors argue that ""All data are included in the manuscript"" but that cannot be if they run simulations, also, software used for the simulations unknown","AC",NA,NA
"10.1086/698372","AMERICAN NATURALIST",2018,"2018-2019","no","yes","no","Bayesian phylogenetic mixed models","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R and R packages versions not provided",NA,NA,NA
"10.1111/1755-0998.12927","MOLECULAR ECOLOGY RESOURCES",2018,"2018-2019","no","yes","yes","tool for phylogeny reconstruction","Python","yes","yes","yes","https://github.com/MayroseLab/OneTwoTree","yes","yes","yes, code","yes","dataaccessibility","repository","repository","GitHub","yes","yes","yes","yes","The source code, tutorial and example of results are freely available from the GitHub repository, including a step-by-step tutorial",NA,NA,NA
"10.1890/15-0236","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1890/15-0236/full + doi:10.5281/zenodo.21416 + https://github.com/cboettig/pdg_control","yes","yes","yes, code","yes","methods","repository and supplementary file","repository","Zenodo and GitHub","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2664.13258","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","no","yes","no","cluster analysis, metapopulation modelling","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","R not properly cited, R and R package version not provided, software used for the metapopulation modelling unknown. Data not shared on the basis of All data used in the article was sourced from the published literature and citations to all sources are provided in the text",NA,NA,NA
"10.1098/rspb.2016.0032","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","no","no","morphological component analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1890/14-1463.1","ECOLOGICAL APPLICATIONS",2015,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.5c1g6","no","yes","no","no",NA,"repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1038/hdy.2016.61","HEREDITY",2016,"2015-2016","no","yes","yes","very simple analysis","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2745.12897","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","meta-analysis, bootstrapping","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not properly cited, R packages used not even mentioned",NA,NA,NA
"10.1111/1365-2745.12955","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","yes","sequencing, barcoding, PCA, permutation tests, phylogenetic comparative analyses, mixed models, Monte Carlo simulations","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided",NA,NA,NA
"10.1111/2041-210X.12368","METHODS IN ECOLOGY AND EVOLUTION",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2435.13146","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","mixed models, ANOVAs","SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,"AC",NA,NA
"10.1111/mec.13233","MOLECULAR ECOLOGY",2015,"2015-2016","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,NA
"10.1111/2041-210X.12543","METHODS IN ECOLOGY AND EVOLUTION",2016,"2015-2016","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 reviewers dissagreed on the inclusion/excuslion of this paper based on the abstract"
"10.1098/rspb.2015.1921","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
